timestamp,token
129200,0
129291,0
129396,1
129517,0
129696,0
129906,0
130289,0
130416,0
130520,0
130687,0
130828,1
131418,0
131577,0
131730,0
131894,0
131966,1
132312,0
132364,0
132512,0
132695,0
132764,0
132925,1
133049,0
133451,0
133602,0
133724,0
133810,0
133952,0
134020,0
134148,0
134365,0
135131,3
135292,1
135730,0
135874,0
135993,0
136113,0
137099,0
137615,0
137837,1
138669,0
138965,0
139144,0
139389,0
139502,0
139582,0
140760,1
141046,0
141180,0
141285,1
142171,0
142302,0
142605,0
142852,0
142986,0
143088,0
143367,0
143474,0
143613,0
146295,3
147204,2
147875,0
148135,0
148315,0
148493,0
148688,0
148773,1
149410,0
149615,0
149958,0
150106,0
150261,0
150450,0
150631,0
150737,1
151362,0
151460,0
151644,0
151742,0
151910,0
152052,0
152182,0
152377,1
152729,0
152940,0
153242,0
153331,0
153499,1
153697,0
153836,0
153924,0
154001,1
154173,0
154296,0
154528,0
154798,0
154994,0
155127,0
155330,0
155519,0
155694,0
156503,0
156607,0
156837,0
158351,3
159035,1
159291,0
160019,0
160431,0
163255,3
163935,1
164964,0
165512,0
166038,0
166822,3
166980,1
167938,0
168593,0
169985,0
170270,0
172503,3
173500,2
176441,0
177174,0
177594,0
177939,0
178485,0
178856,0
179065,0
179925,0
180014,0
180159,0
180251,0
180665,1
180943,0
181121,0
181562,0
181713,0
181817,1
182101,0
182387,0
182547,0
183730,0
183828,0
184847,3
185359,1
189766,3
191018,3
191679,1
194646,3
196053,3
197087,1
203176,3
204136,3
204889,1
206243,3
207298,3
209876,1
210738,3
211430,3
212511,1
212904,3
213503,3
213747,1
214424,3
214736,3
214904,1
215609,3
216310,1
217304,3
217946,1
218366,3
219944,3
221128,2
224024,0
224535,0
224748,0
225086,1
225360,0
225454,0
225634,0
225743,0
225903,0
226033,0
226311,1
226520,0
226634,0
226730,1
226867,0
227045,0
227698,0
228350,0
228514,0
228572,0
228736,0
228893,1
229017,0
229478,0
230419,0
230973,0
231582,0
231648,0
231809,0
231948,0
232175,0
232295,0
232433,0
232503,0
232699,0
232763,1
232959,0
233143,0
233222,0
233356,0
233464,0
233532,1
234146,0
234284,0
234377,0
234527,0
235161,0
235261,0
235418,0
235568,0
235717,0
235883,0
235955,1
236350,0
236557,0
236662,0
236766,0
236874,0
237050,1
238538,0
239203,0
239353,0
239430,0
239583,0
240214,3
240813,2
243766,0
244651,0
244805,0
245314,0
245443,0
247616,0
248163,1
248762,0
249405,0
249566,0
249694,0
249811,1
250094,0
250219,0
250327,0
250555,0
250721,0
250949,0
251116,1
251365,0
251586,0
251811,0
251929,0
252019,0
252147,1
252403,0
252571,0
252645,0
252763,0
252952,0
253168,1
253918,0
254031,0
254232,0
255325,3
255483,1
